image_name|category|google_desc|aws_desc|azure_desc
4c6ec7185d.jpg|animals|"Hay una persona con el cabello largo y rizado. Lleva una camisa blanca y unos pantalones vaqueros."|El león es un mamífero salvaje que pertenece a la familia de los félidos. Es una de las criaturas más grandes y poderosas|un león acostado
6b4b95f0c4.jpg|animals|La imagen muestra a una persona en una habitación. La persona está sentada en una silla y parece estar leyendo un libro.|El ratón es un mamífero pequeño y de pelaje suave. Tiene una cola larga y es muy ágil. Vive en zonas urbanas y campestres|Un bate con la cabeza de un ratón
6be2eb3fb3.jpg|animals|"In the image, there is a bird in flight with its wings outstretched. The bird is surrounded by a swarm of flies."|El animal en la imagen tiene un pico y es un pájaro. Puede ser un periquito o un loro.|una persona sosteniendo un lagarto verde
6e21804c31.jpg|animals|En la imagen se ve a una persona de pie en una habitación. La persona está de espaldas a la cámara y parece estar mirando por la ventana.|El animal en la imagen es un tigre, un mamífero terrestre. Puede verse que está en un ambiente natural, probablemente en una selva, y que est|un tigre caminando sobre una roca
72decb40db.jpg|animals|This image is of a bird.|Se ve un ave de color teal en un cuerpo de agua. Parece ser una anseriforme, una categoría de aves acuáticas que incluyen gansos|Un pato de pie sobre la hierba
7c43d5ca9e.jpg|animals|"La imagen muestra una flor que está fluyendo en el agua."|El animal en la imagen es un perro dorado de raza Golden Retriever. Los perros Golden Retriever son perros muy dóciles y cariñosos.|un perro corriendo a través de un campo de flores amarillas
7c99b5a89d.jpg|animals|"La imagen muestra a una pareja de pingüinos que parecen estar caminando en la nieve."|El animal en la imagen es un pinguino adulto macho.|un hombre arrodillado al lado de los pingüinos
7d42f0e881.jpg|animals|Hay una planta en una maceta en una mesa.|La imagen muestra a una vaca en un campo. La vaca es un animal de la familia de los rumiantes. Los rumiantes son un grupo de animales que incluyen a|un grupo de vacas con la boca abierta
7d8f058238.jpg|animals|El niño está comiendo una galleta mientras está sentado en la silla.|El león es un mamífero salvaje que vive en los campos.|un león en un campo
7e29f317b0.jpg|animals|El plano de la casa es muy grande y tiene una gran terraza.|La imagen muestra a una vaca en un campo. La vaca es un animal de la familia de los rumiantes que se cría como ganado para la obtención de car|Una vaca en un campo
81b58d7d07.jpg|animals|La imagen muestra a un gato sentado en una silla.|En la imagen se ve un gato pequeño jugando en un prado. El gato es un mamífero y los gatos son conocidos por ser muy curiosos.|un grupo de gatitos en la hierba
83e8a824a2.jpg|animals|El gato es negro y tiene una cola.|Este es un gato joven, probablemente un bebé. Los gatos son animales de sangre caliente, lo que significa que mantienen una temperatura corporal constante,|Un gato acostado en la hierba
8ef5c5ba7d.jpg|animals|In the image, there is a large, green plant with long, thin leaves. The plant is in a pot on a table. There is a window in the background.|El tigre es un mamífero del orden de los carnívoros. Tiene un cuerpo cubierto de pelaje amarillento con rayas negras, y es el|un tigre y un bebé tigre acostado en la hierba
99e296bf48.jpg|animals|En la imagen, hay una persona de pie sobre una superficie plana. La persona está rodeada por una gran cantidad de objetos redondos de diferentes colores|En la imagen se ve una animal, un mamífero, vida silvestre, una ardilla y un cerdo.|Un tejón en la hierba
9bd48a19a4.jpg|animals|El perro es un animal mamífero de la familia de los cánidos. Tiene un cuerpo robusto, una cola en forma de espiga y cuatro patas con g|El perro es un mamífero de la familia de los cánidos, que incluye al lobo. Los perros domésticos más comunes son los de raza, aun|un perro con collar
